resource.id,name.given,name.family,identifier.system,identifier.value,telecom.value,practitionerRole.code[key],code.display,,
Practitioner-AnitaChu,Anita,Chu,http://hl7.org/fhir/sid/us-npi,2346547890,(616) 555-1212,207R00000X,Internal Medicine Physician,https://taxonomy.nucc.org/,female
Practitioner-ScottDumble,Scott,Dumble,,,(210) 555-1399,225100000X,Physical Therapist,https://taxonomy.nucc.org/,male
Practitioner-LunaBaskins,Luna,Baskins,,,,225100000X,Physical Therapist,https://taxonomy.nucc.org/,non-binary
Practitioner-TamaraRodriguez,Tamara,Rodriguez,,,(210) 555-2089,163WH0200X,Home Health Registered Nurse,https://taxonomy.nucc.org/,female
Practitioner-JacobHartwell,Jacob,Hartwell,,,,163WH0200X,Home Health Registered Nurse,https://taxonomy.nucc.org/,male
Practitioner-JenCadbury,Jen,Cadbury,http://hl7.org/fhir/sid/us-npi,1928374650,(210) 555-1871,225X00000X,Occupational Therapist,https://taxonomy.nucc.org/,female
Practitioner-AlexanderKuikhoff,Alexander,Kuikhoff,,,,235Z00000X,Speech-Language Pathologist,https://taxonomy.nucc.org/,male
Practitioner-MariaGonzalez,Maria,Gonzalez,,,,235Z00000X,Speech-Language Pathologist,https://taxonomy.nucc.org/,female
Practitioner-RayMancioni,Ray,Mancioni,,,,1041C0700X,Clinical Social Worker,https://taxonomy.nucc.org/,male
eLTSS-MarkPlanner,Mark,Planner,,,(210) 555-1221,104100000X,Social Worker,https://taxonomy.nucc.org/,male
eLTSS-SamMonitor,Sam,Monitor,,,(210) 224-1599,163WC0400X,Case Management Registered Nurse,https://taxonomy.nucc.org/,male
eLTSS-BillDriver,Bill,Driver,,,(210)111-2222,172A00000X,Driver,https://taxonomy.nucc.org/,male
eLTSS-LisaEducator,Lisa,Educator,,,(210) 555-1213,163WD0400X,Diabetes Educator Registered Nurse,https://taxonomy.nucc.org/,female
eLTSS-NormaTrainer,Norma,Trainer,,,(210) 555-1214,225100000X,Physical Therapist,https://taxonomy.nucc.org/,female
