resource.id,practitioner,organization,location,code[->],specialtyCode[->]
Role-OT-JenCadbury,Practitioner-JenCadbury,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,225X00000X,
Role-SLP-AlexanderKuikhoff,Practitioner-AlexanderKuikhoff,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,235Z00000X,
Role-SLP-MariaGonzalez,Practitioner-MariaGonzalez,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,235Z00000X,
Role-CSW-RayMancioni,Practitioner-RayMancioni,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,1041C0700X,
Role-PT-ScottDumble,Practitioner-ScottDumble,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,225100000X,
Role-PT-LunaBaskins,Practitioner-LunaBaskins,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,225100000X,
Role-HHRN-TamaraRodriguez,Practitioner-TamaraRodriguez,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,163WH0200X,
Role-HHRN-JacobHartwell,Practitioner-JacobHartwell,org-HH-Sky-Harbor-Home-Health,org-Loc-HH-Sky-Harbor-Home-Health,163WH0200X,
Role-IMMD-AnitaChu,Practitioner-AnitaChu,org-PC-Primary-Care-Michigan,org-Loc-PC-Primary-Care-Michigan,207R00000X,
Role-SW-MarkPlanner,eLTSS-MarkPlanner,org-eLTSS-Support-Planner-Services,org-Loc-eLTSS-Support-Planner-Services,104100000X,
Role-RNCM-SamMonitor,eLTSS-SamMonitor,org-eLTSS-CaseManaging4U,org-Loc-eLTSS-CaseManaging4U,163WC0400X,
Role-Driver-BillDriver,eLTSS-BillDriver,org-Transporter-Inc,org-Loc-Transporter-Inc,172A00000X,
Role-CDCES-eLTSS-LisaEducator,eLTSS-LisaEducator,org-eLTSS-Health-Educators-Inc,org-Loc-eLTSS-Health-Educators-Inc,163WD0400X,
Role-PT-NormaTrainer,eLTSS-NormaTrainer,org-eLTSS-Therapists-To-Go,org-Loc-eLTSS-Therapists-To-Go,225100000X,
